ts,rain,wind_speed,et0,solar_radiation
2023-07-11 07:00:00,0.0,4.8,0.25,356.0
2023-07-11 08:00:00,0.0,3.7,0.38,521.0
2023-07-11 09:00:00,0.0,4.3,0.5,669.0
2023-07-11 10:00:00,0.0,4.3,0.61,784.0
2023-07-11 11:00:00,0.0,3.8,0.67,855.0
2023-07-11 12:00:00,0.0,2.5,0.67,874.0
2023-07-11 13:00:00,0.0,2.9,0.65,841.0
2023-07-11 14:00:00,0.0,4.3,0.6,750.0
2023-07-11 15:00:00,0.0,4.7,0.41,471.0
2023-07-11 16:00:00,0.0,1.8,0.33,425.0
2023-07-11 17:00:00,0.0,2.6,0.24,304.0
2023-07-11 18:00:00,0.0,0.8,0.1,155.0
2023-07-11 19:00:00,0.0,8.7,0.1,37.0
2023-07-11 20:00:00,0.0,2.3,0.01,0.0
2023-07-11 21:00:00,0.0,5.2,0.03,0.0
2023-07-11 22:00:00,0.0,7.5,0.04,0.0
2023-07-11 23:00:00,0.0,2.2,0.0,0.0
2023-07-12 00:00:00,0.0,21.7,0.1,0.0
2023-07-12 01:00:00,0.0,8.1,0.03,0.0
2023-07-12 02:00:00,0.0,5.0,0.01,0.0
2023-07-12 03:00:00,0.0,12.6,0.01,0.0
2023-07-12 04:00:00,0.0,4.1,0.0,1.0
2023-07-12 05:00:00,0.0,10.0,0.04,41.0
2023-07-12 06:00:00,0.0,6.9,0.1,136.0
2023-07-12 07:00:00,0.0,6.3,0.25,347.0
2023-07-12 08:00:00,0.0,4.2,0.34,463.0
2023-07-12 09:00:00,0.0,3.4,0.46,623.0
2023-07-12 10:00:00,0.0,1.4,0.51,679.0
2023-07-12 11:00:00,0.0,0.4,0.52,680.0
2023-07-12 12:00:00,0.0,4.8,0.52,667.0
2023-07-12 13:00:00,0.0,10.8,0.55,650.0
2023-07-12 14:00:00,0.0,12.8,0.6,709.0
2023-07-12 15:00:00,0.0,10.2,0.51,597.0
2023-07-12 16:00:00,0.0,3.4,0.36,449.0
2023-07-12 17:00:00,0.0,11.3,0.33,288.0
2023-07-12 18:00:00,0.0,14.5,0.14,145.0
2023-07-12 19:00:00,0.0,6.3,0.04,30.0
2023-07-12 20:00:00,0.0,6.3,0.02,0.0
2023-07-12 21:00:00,0.0,8.5,0.02,0.0
2023-07-12 22:00:00,0.0,16.2,0.04,0.0
2023-07-12 23:00:00,0.0,13.3,0.03,0.0
2023-07-13 00:00:00,0.0,5.4,0.01,0.0
2023-07-13 01:00:00,0.0,7.7,0.02,0.0
2023-07-13 02:00:00,0.0,6.0,0.01,0.0
2023-07-13 03:00:00,0.0,3.1,0.0,0.0
2023-07-13 04:00:00,0.0,3.9,0.03,0.0
2023-07-13 05:00:00,1.7,19.8,0.03,26.0
2023-07-13 06:00:00,16.8,12.7,0.03,26.0
2023-07-13 07:00:00,23.1,10.0,0.05,62.0
2023-07-13 08:00:00,4.2,5.1,0.13,198.0
2023-07-13 09:00:00,0.0,0.8,0.32,478.0
2023-07-13 10:00:00,0.0,4.0,0.37,537.0
2023-07-13 11:00:00,0.0,1.4,0.45,642.0
2023-07-13 12:00:00,0.0,6.5,0.46,613.0
2023-07-13 13:00:00,0.0,5.9,0.41,527.0
2023-07-13 14:00:00,0.0,6.8,0.26,290.0
2023-07-13 15:00:00,0.2,9.2,0.38,503.0
2023-07-13 16:00:00,0.0,4.9,0.3,410.0
2023-07-13 17:00:00,0.0,3.9,0.22,310.0
2023-07-13 18:00:00,0.0,2.5,0.11,157.0
2023-07-13 19:00:00,0.0,7.4,0.04,36.0
2023-07-13 20:00:00,0.0,6.1,0.01,0.0
2023-07-13 21:00:00,0.0,9.1,0.02,0.0
2023-07-13 22:00:00,0.0,9.4,0.02,0.0
2023-07-13 23:00:00,0.0,13.7,0.03,0.0
2023-07-14 00:00:00,0.0,13.4,0.02,0.0
2023-07-14 01:00:00,0.0,14.4,0.01,0.0
2023-07-14 02:00:00,0.0,13.0,0.0,0.0
2023-07-14 03:00:00,0.0,8.8,0.0,0.0
2023-07-14 04:00:00,0.0,11.9,0.02,0.0
2023-07-14 05:00:00,0.0,11.2,0.04,36.0
2023-07-14 06:00:00,0.0,13.7,0.1,121.0
2023-07-14 07:00:00,0.0,15.0,0.15,202.0
2023-07-14 08:00:00,0.0,13.6,0.24,322.0
2023-07-14 09:00:00,0.2,12.0,0.34,473.0
2023-07-14 10:00:00,0.1,10.9,0.42,571.0
2023-07-14 11:00:00,0.1,11.4,0.51,695.0
2023-07-14 12:00:00,0.1,9.7,0.59,809.0
2023-07-14 13:00:00,0.0,4.8,0.56,750.0
2023-07-14 14:00:00,0.0,4.8,0.48,623.0
2023-07-14 15:00:00,0.0,7.1,0.45,565.0
2023-07-14 16:00:00,0.0,7.0,0.36,448.0
2023-07-14 17:00:00,0.0,7.0,0.25,301.0
2023-07-14 18:00:00,0.0,5.9,0.14,150.0
2023-07-14 19:00:00,0.0,5.6,0.05,35.0
2023-07-14 20:00:00,0.0,7.7,0.02,0.0
2023-07-14 21:00:00,0.0,3.6,0.01,0.0
2023-07-14 22:00:00,0.0,1.9,0.0,0.0
2023-07-14 23:00:00,0.0,5.6,0.0,0.0
2023-07-15 00:00:00,0.0,2.1,0.0,0.0
2023-07-15 01:00:00,0.0,3.4,0.0,0.0
2023-07-15 02:00:00,0.0,4.9,0.0,0.0
2023-07-15 03:00:00,0.0,6.1,0.0,0.0
2023-07-15 04:00:00,0.0,4.6,0.02,0.0
2023-07-15 05:00:00,0.0,6.8,0.04,52.0
2023-07-15 06:00:00,0.0,6.1,0.12,185.0
2023-07-15 07:00:00,0.0,5.4,0.23,351.0
2023-07-15 08:00:00,0.0,3.4,0.36,519.0
2023-07-15 09:00:00,0.0,1.8,0.47,666.0
2023-07-15 10:00:00,0.0,3.1,0.58,784.0
2023-07-15 11:00:00,0.0,2.9,0.63,849.0
2023-07-15 12:00:00,0.0,1.5,0.61,831.0
2023-07-15 13:00:00,0.0,7.2,0.62,799.0
2023-07-15 14:00:00,0.0,8.5,0.58,711.0
2023-07-15 15:00:00,0.0,4.1,0.48,607.0
2023-07-15 16:00:00,0.0,1.1,0.34,461.0
2023-07-15 17:00:00,0.0,5.4,0.27,311.0
2023-07-15 18:00:00,0.0,9.1,0.18,158.0
2023-07-15 19:00:00,0.0,8.8,0.08,35.0
2023-07-15 20:00:00,0.0,8.7,0.04,0.0
2023-07-15 21:00:00,0.0,1.0,0.0,0.0
2023-07-15 22:00:00,0.0,4.6,0.01,0.0
2023-07-15 23:00:00,0.0,5.1,0.02,0.0
2023-07-16 00:00:00,0.0,5.6,0.02,0.0
2023-07-16 01:00:00,0.0,8.1,0.03,0.0
2023-07-16 02:00:00,0.0,8.1,0.04,0.0
2023-07-16 03:00:00,0.0,7.6,0.03,0.0
2023-07-16 04:00:00,0.0,5.2,0.04,0.0
2023-07-16 05:00:00,0.0,6.0,0.05,52.0
2023-07-16 06:00:00,0.0,6.0,0.13,188.0
2023-07-16 07:00:00,0.0,6.9,0.25,356.0
2023-07-16 08:00:00,0.0,8.7,0.39,525.0
2023-07-16 09:00:00,0.0,8.8,0.51,674.0
2023-07-16 10:00:00,0.0,7.4,0.6,789.0
2023-07-16 11:00:00,0.0,5.4,0.66,859.0
2023-07-16 12:00:00,0.0,4.3,0.67,877.0
2023-07-16 13:00:00,0.0,4.3,0.66,847.0
2023-07-16 14:00:00,0.0,4.0,0.6,762.0
2023-07-16 15:00:00,0.0,1.5,0.48,631.0
2023-07-16 16:00:00,0.0,7.4,0.44,486.0
2023-07-16 17:00:00,0.0,15.0,0.39,322.0
2023-07-16 18:00:00,0.0,8.8,0.19,157.0
2023-07-16 19:00:00,0.0,11.3,0.14,34.0
2023-07-16 20:00:00,0.0,14.0,0.13,0.0
2023-07-16 21:00:00,0.0,12.8,0.1,0.0
2023-07-16 22:00:00,0.0,13.0,0.09,0.0
2023-07-16 23:00:00,0.0,12.8,0.08,0.0
2023-07-17 00:00:00,0.0,14.6,0.09,0.0
2023-07-17 01:00:00,0.0,15.4,0.1,0.0
2023-07-17 02:00:00,0.0,12.6,0.08,0.0
2023-07-17 03:00:00,0.0,8.6,0.04,0.0
2023-07-17 04:00:00,0.0,7.9,0.05,0.0
2023-07-17 05:00:00,0.0,9.9,0.07,51.0
2023-07-17 06:00:00,0.0,6.1,0.14,187.0
2023-07-17 07:00:00,0.0,5.4,0.25,356.0
2023-07-17 08:00:00,0.0,3.5,0.37,524.0
2023-07-17 09:00:00,0.0,4.0,0.5,673.0
2023-07-17 10:00:00,0.0,5.4,0.61,786.0
2023-07-17 11:00:00,0.0,6.1,0.67,855.0
2023-07-17 12:00:00,0.0,3.3,0.67,874.0
2023-07-17 13:00:00,0.0,1.5,0.59,773.0
2023-07-17 14:00:00,0.0,4.5,0.58,713.0
2023-07-17 15:00:00,0.0,2.1,0.48,615.0
2023-07-17 16:00:00,0.0,9.1,0.45,472.0
2023-07-17 17:00:00,0.0,19.3,0.42,309.0
2023-07-17 18:00:00,0.0,21.3,0.3,150.0
2023-07-17 19:00:00,0.0,23.7,0.22,33.0
2023-07-17 20:00:00,0.0,21.8,0.17,0.0
2023-07-17 21:00:00,0.0,19.2,0.15,0.0
